DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB01977,6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,,SmallMoleculeDrug,,,447732,46504984,,,675,,,,"",,,,,,394745,50138670,
DB01978,"7,9-Dimethylguanine",55235-22-8,SmallMoleculeDrug,,,131704185,46504672,,,NDM,,,,"",,,,,,,,
DB01979,Methyl alpha-D-mannoside,25281-48-5,SmallMoleculeDrug,,,101798,46507488,43943,,MMA,,,,"",,,,,,91978,50166886,
DB01980,Para-Iodo-D-Phenylalanine Hydroxamic Acid,,SmallMoleculeDrug,,,5288643,46507696,,,IPO,,,,"",,,,,,4450764,,
DB01981,"3,6-Anhydro-D-Galactose-2-Sulfate",,SmallMoleculeDrug,,,446806,46506711,,,DGS,,,,"",,,,,,394064,,
DB01982,D-Mannuronic Acid,1986-14-7,SmallMoleculeDrug,C02024,,657117,46506836,16224,,MAV,,,,"",,,,,,571317,,
DB01983,2(S)-Amino-6-Boronohexanoic Acid,,SmallMoleculeDrug,,,444965,46506382,40520,,ABH,,,,"",,,,,,392738,,
DB01984,4-[2-(3-Benzyloxycarbonylamino-4-Cyclohexyl-1-Hydroxy-2-Oxo-Butylamino)-5-Guanidino-Pentanoylamino]-4-(1-Carboxy-2-Cyclohexyl-Ethylcarbamoyl)-Butyric Acid,,SmallMoleculeDrug,,,17753951,46507473,,,DKT,,,,"",,,,,,16743946,,
DB01985,N-Alpha-L-Acetyl-Arginine,,SmallMoleculeDrug,,,67427,46508435,40521,,AAG,,,,"",,,,,,60752,,
DB01986,3-Fluoro-2-Methyl-Aniline,,SmallMoleculeDrug,,,285553,46506560,,,FLM,,,,"",,,,,,251695,,
DB01987,Cocarboxylase,136-08-3,SmallMoleculeDrug,C00068,,5431,46504577,45931,,TDP,,,,"",,,Thiamine_pyrophosphate,,,5238,,
DB01988,6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,,SmallMoleculeDrug,,,4369379,46506846,,,6NP,,,,"",,,,,,3571958,,
DB01989,Carbobenzoxy-Pro-Lys-Phe-Y(Po2)-Ala-Pro-Ome,,SmallMoleculeDrug,,,16741116,46506751,,,PKF,,,,"",,,,,,20572427,,
DB01990,Cholesterol-Sulfate,,SmallMoleculeDrug,C18043,,65076,46507419,41321,,C3S,,,,"",,,,,,58586,,
DB01991,Tu-514,,SmallMoleculeDrug,,,449223,46506311,,,TUX,,,,"",,,,,,395814,,
DB01993,N-(5'-Phosphopyridoxyl)-D-Alanine,,SmallMoleculeDrug,,,446862,46505701,44743,,PDD,,,,"",,,,,,394107,,
DB01994,"2-(Pyrido[1,2-E]Purin-4-Yl)Amino-Ethanol",,SmallMoleculeDrug,,,1522,46509021,,,PPZ,,,,"",,,,,,1468,,
DB01995,5-Methylcytidine-5'-Monophosphate,,SmallMoleculeDrug,,,192785,46507228,74725,,5MC,,,,"",,,,,,167300,,
DB01996,3-Methylpyridine,108-99-6,SmallMoleculeDrug,,,7970,46507201,39922,,3MP,,,,"",,,3-Methylpyridine,,,21106520,,
DB01997,3-Bromo-7-Nitroindazole,,SmallMoleculeDrug,,,1649,46507791,,,INE,,,,"",,,,,,1587,50270528,
DB01998,"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",,SmallMoleculeDrug,,,17754184,46507361,,,SUM,,,,"",,,,,,16744211,,
DB01999,"5,10,15,20-Tetrakis(4-Sulpfonatophenyl)-21h,23h-Porphine",,SmallMoleculeDrug,,,131704186,46505956,,,SFP,,,,"",,,,,,25058432,,
DB02001,"5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine",,SmallMoleculeDrug,,,3534,46507893,,,TQ6,,,,"",,,,,,3414,18048,
DB02002,2-Aminoprop-2-Enamide,,SmallMoleculeDrug,,,3332061,46507504,,,PYT,,,,"",,,,,,2579132,,
DB02004,"5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine",,SmallMoleculeDrug,,,448436,46506717,,,5AP,,,,"",,,,,,395235,11593,
DB02005,2-Oxo-3-Pentenoic Acid,,SmallMoleculeDrug,,,5289089,46504701,,,OXP,,,,"",,,,,,4451123,,
DB02006,Br-Coeleneterazine,,SmallMoleculeDrug,,,49866866,46508315,,,CZB,,,,"",,,,,,25060487,,
DB02007,alpha-D-glucose 6-phosphate,,SmallMoleculeDrug,C00668,,439284,46505235,17665,,G6P,,,,"",,,,,,388417,,
DB02008,1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,,SmallMoleculeDrug,,,447371,46504933,,,FTB,,,,"",,,,,,394495,50133801,
DB02009,"L-756,423",,SmallMoleculeDrug,,,5481481,46508445,,,L75,,,,"",,,,,,4587351,50408998,
DB02010,Staurosporine,62996-74-1,SmallMoleculeDrug,C02079,,44259,46504923,15738,PA165109623,STU,,,,"",,,Staurosporine,,,40272,2579,DNC001380
DB02011,N-(Phosphonoacetyl)-L-Ornithine,63446-55-9,SmallMoleculeDrug,,,124992,46505486,,,PAO,,,,"",,,,,,111277,,
DB02013,Monoazido-Mu-Oxo-Diiron,,SmallMoleculeDrug,,,4475494,46507590,,,FEA,,,,"",,,,,,21542356,,
DB02014,Compound 9,"",SmallMoleculeDrug,,,447994,46506116,,,234,,,,"",,,,,,394932,13990,
DB02015,Dihydrofolic Acid,4033-27-6,SmallMoleculeDrug,C00415,,98792,46508318,15633,,DHF,,,,"",,,,,,89228,18044,
DB02016,R048-8071,161582-11-2,SmallMoleculeDrug,,,1949,46505901,101064,,R71,,,,"",,,,,,1873,50128065,
DB02017,Imidazole-Derived Cellobiose,,SmallMoleculeDrug,,,657137,46509160,,,IDC,,,,"",,,,,,571328,,
DB02018,Amido Phenyl Pyruvic Acid,,SmallMoleculeDrug,,,2138,46506242,,,APA,,,,"",,,,,,2053,50010257,
DB02019,Acetyl Dithranol,,SmallMoleculeDrug,,,4471188,46504623,33092,,ADL,,,,"",,,,,,3669580,50059618,
DB02020,Alrestatin,51411-04-2,SmallMoleculeDrug,,,2120,46508635,,,ALR,,,,"",,,Alrestatin,,,2036,16415,
DB02021,Fidarestat,136087-85-9,SmallMoleculeDrug,,,160024,46505893,,,FID,,,,"",,,Fidarestat,,,140679,16512,DCL000311
DB02022,4-Amino-5-Hydroxymethyl-2-Methylpyrimidine,73-67-6,SmallMoleculeDrug,C01279,,777,46508420,16892,,HMH,,,,"",,,,,,756,,
DB02023,8-Oxo-2'-Deoxy-Guanosine-5'-Monophosphate,,SmallMoleculeDrug,,,447903,46508434,63223,,8OG,,,,"",,,,,,394863,,
DB02024,3-phenylpropionic acid,501-52-0,SmallMoleculeDrug,C05629,,107,46506078,28631,,HCI,,,,"",,,,,,10181339,50304072,
DB02025,L-D-(a-Aminoadipoyl)-L-Cysteinyl-D-Valine,,SmallMoleculeDrug,C05556,,448130,46506598,28496,,ACV,,,,"",,,,,,395032,,
DB02026,"Furo[2,3d]Pyrimidine Antifolate",,SmallMoleculeDrug,,,158376,46506042,,,MOT,,,,"",,,,,,139334,50091145,
DB02027,N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine,,SmallMoleculeDrug,,,656911,46504827,,,DP3,,,,"",,,,,,571160,21960,
DB02028,"(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",,SmallMoleculeDrug,,,5288599,46505118,,,IBS,,,,"",,,,,,4450728,,
DB02029,N-Cyclohexyl-N'-(4-Iodophenyl)Urea,,SmallMoleculeDrug,,,4357,46508430,41480,,CIU,,,,"",,,,,,4204,129304,
DB02030,Alpha-Ribazole-5'-Phosphate,,SmallMoleculeDrug,C04778,,444941,46504584,16837,,RBZ,,,,"",,,,,,392720,,
DB02031,"(6S)-5,6,7,8-tetrahydrofolate",,SmallMoleculeDrug,,,5460413,46508587,15635,,THG,,,,"",,,,,,4573946,,
DB02032,1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid,,SmallMoleculeDrug,,,688267,46505775,,,MCO,,,,"",,,,,,599746,50140754,
DB02033,"N-(3-Cyclopropyl(5,6,7,8,9,10-Hexahydro-2-Oxo-2h-Cycloocta[B]Pyran-3-Yl)Methyl)Phenylbenzensulfonamide",,SmallMoleculeDrug,,,54687250,46504807,,,INU,,,,"",,,,,,16744062,763,
DB02034,Tridolgosir,72741-87-8,SmallMoleculeDrug,C10173,,51683,46506581,9367,,SWA,,,,"",,,Swainsonine,,,46788,50168995,
DB02035,1-Hexadecylsulfonyl Fluoride,,SmallMoleculeDrug,,,3572,46507026,43275,,HSF,,,,"",,,,,,3448,50396293,
DB02036,"2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide",,SmallMoleculeDrug,,,448475,46508836,,,GNR,,,,"",,,,,,395263,,
DB02037,"2,4-Diamino-4,6-Dihydroxypyrimidine",,SmallMoleculeDrug,,,2733981,46506204,,,DDP,,,,"",,,,,,2015743,50108010,
DB02038,"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",,SmallMoleculeDrug,,,445005,46509108,,,DCS,,,,"",,,,,,392768,,
DB02039,S-Acetyl-Cysteine,,SmallMoleculeDrug,,,10130120,46505017,,,SCY,,,,"",,,,,,8305638,,
DB02041,Isoluminol,"",SmallMoleculeDrug,,,95014,46508392,,,APZ,,,,"",,,Luminol,,,85732,50125767,
DB02042,2-(2-{2-[2-(2-Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol,,SmallMoleculeDrug,,,90255,46507262,,,1PG,,,,"",,,,,,81480,,
DB02043,"1,2-Dipalmitoyl-Phosphatidyl-Glycerole",,SmallMoleculeDrug,,,65144,46508792,60724,,LHG,,,,"",,,,,,58653,,
DB02044,N-(3-(Aminomethyl)Benzyl)Acetamidine,,SmallMoleculeDrug,,,1433,46507793,90721,,14W,,,,"",,,,,,1389,50065805,
DB02045,Amylamine,110-58-7,SmallMoleculeDrug,,,8060,46504924,74848,,AML,,,,"",,,Pentylamine,,,7769,,
DB02046,N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid,,SmallMoleculeDrug,,,449500,46505506,,,FLX,,,,"",,,,,,396015,,
DB02047,"2-(1,1'-Biphenyl-4-Yl)Propanoic Acid",,SmallMoleculeDrug,,,448006,46508140,,,BFL,,,,"",,,,,,394942,,
DB02048,"1,2,4-Triazole-Carboxamidine",,SmallMoleculeDrug,,,3387240,46504690,,,TZC,,,,"",,,,,,2632200,,
DB02049,2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide,,SmallMoleculeDrug,,,5111,46508760,,,CBP,,,,"",,,,,,4931,50146636,
DB02051,3-[N-[Benzyloxycarbonyl]-Phenylalaninyl-Amino]-5-Phenyl-Pentane-1-Sulfonic Acid 4-Nitro-Phenyl Ester,,SmallMoleculeDrug,,,5289561,46505415,,,VS3,,,,"",,,,,,4451499,,
DB02052,Indirubin-3'-Monoxime,,SmallMoleculeDrug,,,5326739,46507166,43645,,IXM,,,,"",,,,,,21105558,7393,DNC000796
DB02053,Ribose-5-phosphate,4151-19-3,SmallMoleculeDrug,C00117,,77982,46507722,17797,,R52,,,,"",,,Ribose_5-phosphate,,,70368,,
DB02054,Gabaculine,87980-11-8,SmallMoleculeDrug,C12110,,7419,46506914,42682,,GAB,,,,"",,,Gabaculine,,,7141,50226518,DNC000669
DB02055,N-Butyl-Benzenesulfonamide,3622-84-2,SmallMoleculeDrug,,,19241,46505191,44237,,NBB,,,,"",,,,,,18156,,
DB02057,(S)-AMPA,83643-88-3,SmallMoleculeDrug,,,158397,46505942,,,AMQ,,,,"",,,AMPA,,,139348,17662,
DB02058,SU4984,,SmallMoleculeDrug,,,1633,46508294,,,SU2,,,,"",,,,,,1571,50268194,DNC001385
DB02059,Adenosine-5-Diphosphoribose,"",SmallMoleculeDrug,,,447048,46508870,,,AR6,,,,"",,,,,,394252,,
DB02060,Cyclohexanone,108-94-1,SmallMoleculeDrug,C00414,,7967,46505038,17854,,CYH,,,,"",,,Cyclohexanone,,,7679,6,
DB02061,Cellobiose,528-50-7,SmallMoleculeDrug,C00185,,439178,46505046,17057,,CBI,,,,"",,,Cellobiose,,,388323,,
DB02062,"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",,SmallMoleculeDrug,,,5478838,46508788,,,BIR,,,,"",,,,,,4585985,,
DB02063,CRA_16847,,SmallMoleculeDrug,,,131704187,46504465,,,847,,,,"",,,,,,,14339,
DB02065,4-Deoxylactose,,SmallMoleculeDrug,,,445801,46506293,,,DEL,,,,"",,,,,,393332,,
DB02066,N7-Methyl-Formycin A,,SmallMoleculeDrug,,,446659,46508364,42575,,FM1,,,,"",,,,,,393957,,
DB02067,Triglu-5-Formyl-Tetrahydrofolate,,SmallMoleculeDrug,,,6323515,46506661,,,TGF,,,,"",,,,,,4883456,,
DB02068,Delta-Amino Valeric Acid,,SmallMoleculeDrug,,,449593,46505369,,,DAV,,,,"",,,,,,396072,,
DB02069,N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide,"",SmallMoleculeDrug,,,4290,46505771,,,FSB,,,,"",,,,,,4139,12014,
DB02070,L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid,,SmallMoleculeDrug,C00328,,161166,46507622,57959,,KYN,,,,"",,,,,,141580,31880,
DB02071,WAY-151693,"",SmallMoleculeDrug,,,4368,46508910,,,WAY,,,,"",,,,,,4215,50096463,
DB02072,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",,SmallMoleculeDrug,,,1521,46505435,,,COL,,,,"",,,,,,1467,50118787,
DB02073,Biliverdine IX Alpha,114-25-0,SmallMoleculeDrug,C00500,,5280353,46505998,17033,,BLA,,,,"",,,,,,10628548,,
DB02074,Butenoic Acid,107-93-7,SmallMoleculeDrug,C01771,,637090,46505990,41131,,BEO,,,,"",,,,,,552744,50427207,
DB02075,"(1s)-1(9-Deazahypoxanthin-9yl)1,4-Dideoxy-1,4-Imino-D-Ribitol-5-Phosphate",,SmallMoleculeDrug,,,444833,46507599,,,IRP,,,,"",,,,,,392646,,
DB02076,6-phospho-D-gluconic acid,921-62-0,SmallMoleculeDrug,C00345,,91493,46506816,48928,,6PG,,,,"",,,6-Phosphogluconic_acid,,,82615,,
DB02077,L-N(Omega)-Nitroarginine-(4r)-Amino-L-Proline Amide,,SmallMoleculeDrug,,,656912,46507698,,,DP9,,,,"",,,,,,571161,50138976,
DB02078,Triglyme,112-49-2,SmallMoleculeDrug,,,8189,46505275,44842,,PG5,,,,"",,,Triglyme,,,13835222,,
DB02079,Aminooxyacetic acid,645-88-5,SmallMoleculeDrug,,,286,46507597,,,AOA,,,,"",,,Aminooxyacetic_acid,,,280,,
DB02080,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",,SmallMoleculeDrug,,,446308,46506840,,,TRT,,,,"",,,,,,393701,,
DB02081,Bis-Benzamidine,,SmallMoleculeDrug,,,17753851,46504495,,,BBA,,,,"",,,,,,16743856,,
DB02082,Phosphoaminophosphonic Acid Guanylate Ester,,SmallMoleculeDrug,,,36735,46506592,78408,,GNP,,,,"",,,,,,33738,81791,
DB02083,"N,N-dimethylglycine",1118-68-9,SmallMoleculeDrug,C01026,,673,46507083,58251,,DMG,,,,"",,,Dimethylglycine,,,653,,
DB02084,CRA_17312,,SmallMoleculeDrug,,,131704188,46506094,,,312,,,,"",,,,,,,14341,
DB02085,1-Aminocyclopropanecarboxylic Acid,22059-21-8,SmallMoleculeDrug,C01234,,535,46505058,18053,,1AC,,,,"",,,,,,520,,
DB02086,"(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium",,SmallMoleculeDrug,,,5460502,46507157,30287,,TTO,,,,"",,,,,,4574013,,
DB02087,"3,5-Difluorobenzenesulfonamide",,SmallMoleculeDrug,,,446275,46506239,42566,,FBU,,,,"",,,,,,393677,,
DB02088,Norleucine Phosphonate,,SmallMoleculeDrug,,,444720,46507940,,,NLP,,,,"",,,,,,392568,,
DB02089,CP-526423,"",SmallMoleculeDrug,,,445383,46504966,,,CP4,,,,"",,,,,,393034,50149207,
DB02090,A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor,,SmallMoleculeDrug,,,17754156,46508659,,,S80,,,,"",,,,,,16744190,,
DB02091,"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",,SmallMoleculeDrug,,,447956,46506617,,,CK2,,,,"",,,,,,394901,8037,
DB02092,Cholesteryl Linoleate,604-33-1,SmallMoleculeDrug,C15441,,5287939,46505702,41509,,CLL,,,,"",,,,,,4450205,,
DB02093,5-Phospho-D-Arabinohydroxamic Acid,,SmallMoleculeDrug,,,446761,46508349,,,PAN,,,,"",,,,,,394040,50342610,
DB02094,N-2-Thiophen-2-Yl-Acetamide Boronic Acid,,SmallMoleculeDrug,,,2671,46505608,,,CTB,,,,"",,,,,,2570,50115621,
DB02095,Isatin,91-56-5,SmallMoleculeDrug,C11129,,7054,46507369,27539,,ISN,,,,"",,,Isatin,,,6787,11022,
DB02096,FR221647,"",SmallMoleculeDrug,,,447340,46507568,,,FR2,,,,"",,,,,,394470,,
DB02097,Cytidine,,SmallMoleculeDrug,C00475,,6175,46507502,17562,,CTN,,,,"",,,Cytidine,,,5940,,
DB02098,Adenosine-2'-5'-Diphosphate,,SmallMoleculeDrug,C03850,,440141,46504615,,,A2P,,,,"",,,,,,389137,11941,
DB02099,S-azabisabolene,"",SmallMoleculeDrug,,,5289326,46508851,,,SAZ,,,,"",,,,,,4451316,,
DB02100,Methyl alpha-galactoside,34004-14-3,SmallMoleculeDrug,,,76935,46508583,55507,,AMG,,,,"",,,,,,69385,,
DB02101,"(S,R)-fidarestat","",SmallMoleculeDrug,,,449157,46506217,,,FIS,,,,"",,,,,,395766,50151407,
DB02102,DMP450,,SmallMoleculeDrug,,,154044,46504938,,,DMQ,,,,"",,,,,,135759,151,
DB02103,2-Chlorodideoxyadenosine,114849-58-0,SmallMoleculeDrug,,,72194,46506919,,,CDY,,,,"",,,,,,65165,,
DB02104,"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine",,SmallMoleculeDrug,,,447815,46508492,,,CO4,,,,"",,,,,,394797,50029766,
DB02105,"3,5-Dinitrocatechol",,SmallMoleculeDrug,,,3870203,46507481,,,DNC,,,,"",,,,,,3094995,50017846,
DB02106,"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",,SmallMoleculeDrug,,,5287509,46505732,,,442,,,,"",,,,,,4449873,,
DB02107,Leucine - Reduced Carbonyl,,SmallMoleculeDrug,,,642324,46507789,,,,,,,"",,,,,,557532,,
DB02108,2-Aminoethanimidic Acid,,SmallMoleculeDrug,,,4471892,46505480,,,AEM,,,,"",,,,,,3670277,,
DB02109,Hadacidin,,SmallMoleculeDrug,,,12717,46505891,43040,,HDA,,,,"",,,Hadacidin,,,12194,50149248,DNC000723
DB02110,Protoporphyrin Ix Containing Co,,SmallMoleculeDrug,,,11967905,46508124,,,COH,,,,"",,,,,,,,
DB02111,3-Hydroxyisoxazole-4-Carboxylic Acid,,SmallMoleculeDrug,,,448651,46508407,,,GAG,,,,"",,,,,,395385,23242,
DB02112,Zk-806450,,SmallMoleculeDrug,,,448062,46508622,,,806,,,,"",,,,,,21542324,17281,
DB02113,6-Methylpurine,2004-03-7,SmallMoleculeDrug,,,5287547,46506443,40274,,6MP,,,,"",,,,,,4449900,92423,
DB02114,Para-Isopropylaniline,,SmallMoleculeDrug,,,7464,46504739,43405,,ISO,,,,"",,,,,,13853758,,
DB02115,Daidzin,552-66-9,SmallMoleculeDrug,C10216,,107971,46505206,42202,,DZN,,,,"",,,Daidzin,,,97088,50409029,
DB02116,Olomoucine,101622-51-9,SmallMoleculeDrug,,,4592,46508610,,,OLO,,,,"",,,Glial_scar,,,4431,5718,DNC001057
DB02118,CP-271485,"",SmallMoleculeDrug,,,448940,46507727,,,CP8,,,,"",,,,,,395591,,
DB02119,"6-Hydroxymethyl-7,8-Dihydropterin",3672-03-5,SmallMoleculeDrug,C01300,,218,46505768,44841,,PH2,,,,"",,,,,,213,,
DB02120,"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",38231-86-6,SmallMoleculeDrug,,,193758,46504853,,,ACI,,,,"",,,,,,168149,50366472,
DB02121,Butyramide,541-35-5,SmallMoleculeDrug,,,10927,46507100,50724,,BMD,,,,"",,,Butyramide,,,10464,,
DB02122,4-iodo-acetamido phenylboronic acid,"",SmallMoleculeDrug,,,4634714,46509059,,,IAP,,,,"",,,,,,3824989,,
DB02123,Glycochenodeoxycholic Acid,640-79-9,SmallMoleculeDrug,C05466,,12544,46506300,36274,,CHO,,,,"",,,,,,12027,50375590,
DB02124,"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",,SmallMoleculeDrug,,,448825,46505773,60844,,HHA,,,,"",,,,,,395510,,
DB02125,Adamantanone,700-58-3,SmallMoleculeDrug,,,64151,46505277,22234,,ADO,,,,"",,,Adamantanone,,,16743818,,
DB02126,4-Carboxycinnamic Acid,,SmallMoleculeDrug,,,697959,46505500,,,CIN,,,,"",,,,,,608126,,
DB02127,Methylphosphonic Acid Diisopropyl Ester,,SmallMoleculeDrug,,,3073,46507529,77325,,DII,,,,"",,,,,,2964,,
DB02128,[1-(3-Hydroxy-2-Oxo-1-Phenethyl-Propylcarbamoyl)2-Phenyl-Ethyl]-Carbamic Acid Pyridin-4-Ylmethyl Ester,,SmallMoleculeDrug,,,5289091,46507860,,,P10,,,,"",,,,,,4451125,,
DB02129,Dihydroorotic Acid,155-54-4,SmallMoleculeDrug,C00337,,439216,46508825,17025,,DOR,,,,"",,,,,,388355,,DNC000559
DB02130,Vanillic acid,121-34-6,SmallMoleculeDrug,C06672,,54675858,46509049,16632,,VNL,,,,"",,,Vanillic_acid,,,21708,50337364,
DB02131,N-1-Methylheptylformamide,,SmallMoleculeDrug,,,5478865,46504613,,,FXY,,,,"",,,,,,4586001,,
DB02132,Zenarestat,112733-06-9,SmallMoleculeDrug,,,5724,46507491,,,ZES,,,,"",,,Zenarestat,,,5522,16496,
DB02133,Chlorophyll A,479-61-8,SmallMoleculeDrug,C05306,,12085802,46506616,18230,,CLA,,,,"",,,Chlorophyll_a,,,16736115,,
DB02134,Xanthine,69-89-6,SmallMoleculeDrug,C00385,,1188,46507575,17712,,XAN,,,,"",,,Xanthine,,,1151,82009,DCL000293
DB02135,"4-{2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Butyl Dihydrogen Phosphate",,SmallMoleculeDrug,,,657027,46506635,,,TS1,,,,"",,,,,,571249,,
DB02136,Cephalosporin Analog,,SmallMoleculeDrug,,,17753890,46509008,,,CEH,,,,"",,,,,,16743898,,
DB02137,Molybdenum Cofactor,872689-63-9,SmallMoleculeDrug,,,131704190,46505896,21437,,PCD,,,,"",,,Molybdenum_cofactor,,,,,
DB02138,Diethyl 4-Methylbenzylphosphonate,3762-25-2,SmallMoleculeDrug,,,3050,46506403,,,EBP,,,,"",,,,,,2942,,
DB02139,(2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine,,SmallMoleculeDrug,,,445990,46509024,,,R04,,,,"",,,,,,393466,50128067,
DB02140,N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide,,SmallMoleculeDrug,,,5287869,46507687,,,C48,,,,"",,,,,,4450156,,
DB02141,"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",,SmallMoleculeDrug,,,1337,46504749,,,4BT,,,,"",,,,,,1297,50271882,
DB02142,Pyridoxamine-5'-Phosphate,529-96-4,SmallMoleculeDrug,C00647,,1053,46506503,18335,,PMP,,,,"",,,,,,1024,,
DB02143,N-Isopropyl-N'-Hydroxyguanidine,,SmallMoleculeDrug,,,447029,46505994,,,IHG,,,,"",,,,,,394239,,
DB02144,"1,2-diacyl-sn-glycero-3-phosphoinositol",,SmallMoleculeDrug,,,49867502,46506660,,,PIE,,,,"",,,,,,26328588,,
DB02145,Butyl alcohol,71-36-3,SmallMoleculeDrug,C06142,D03200,263,46507086,28885,,1BO,,,,"",,,Butanol,,,258,36173,
DB02146,Atrazine Glutathione Conjugate,,SmallMoleculeDrug,,,5287712,46506861,,,ATA,,,,"",,,,,,4450024,,
DB02147,Cyclo-Tetrametavanadate,,SmallMoleculeDrug,,,3393379,46505756,46272,,V4O,,,,"",,,,,,2638079,,
DB02148,3-Amino-4-Oxybenzyl-2-Butanone,,SmallMoleculeDrug,,,5289348,46506319,,,SEM,,,,"",,,,,,4451337,,
DB02151,Methionine Phosphonate,,SmallMoleculeDrug,,,444719,46508141,,,MPH,,,,"",,,,,,392567,,
DB02152,K-252a,97161-97-2,SmallMoleculeDrug,,,3035817,46504455,43616,,KSA,,,,"",,,,,,2299962,6760,
DB02153,3-Sulfinoalanine,1115-65-7,SmallMoleculeDrug,C00606,,1549098,46505410,16345,,CSD,,,,"",,,,,,1266065,,
DB02154,"2,3-Bis-Benzo[1,3]Dioxol-5-Ylmethyl-Succinic Acid",,SmallMoleculeDrug,,,5496628,46508008,,,BDS,,,,"",,,,,,4593420,,
DB02155,Balanol Analog 8,,SmallMoleculeDrug,,,448327,46507987,,,B8L,,,,"",,,,,,395162,,
DB02156,Sulfopyruvate,98022-26-5,SmallMoleculeDrug,C05528,,440717,46508494,16894,,SPV,,,,"",,,,,,389590,223201,
DB02158,"(1s)-1-(9-Deazaadenin-9-Yl)-1,4,5-Trideoxy-1,4-Imino-5-Methylthio-D-Ribitol",,SmallMoleculeDrug,,,131704191,46508814,,,MTM,,,,"",,,,,,26328084,,
DB02159,(R)-Propylene glycol,4254-14-2,SmallMoleculeDrug,C02912,,259994,46507661,28972,,PGR,,,,"",,,,,,228188,,
DB02160,S-Butyryl-Cystein,,SmallMoleculeDrug,,,17753929,46506003,,,CY4,,,,"",,,,,,16743928,,
DB02161,Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester,,SmallMoleculeDrug,,,447234,46506304,,,HTQ,,,,"",,,,,,,,
